eating cucumber will increase water level in our body,UNCERTAIN,55.86
can drinking hot water cure cold,MYTH,73.64
Home remedies cure cancer,MYTH,76.34
alcohol harm liver function,UNCERTAIN,57.62
eating cucumber will increase water level in our body,UNCERTAIN,51.13
eating cucumber will increase water level in our body,UNCERTAIN,51.13
garlic cures flu,MYTH,80.12
Home remedies cure cancer,MYTH,76.34
eating cucumber will increase water level in our body,FACT,51.13
eating cucumber will increase water level in our body,FACT,51.13
garlic cures flu,MYTH,80.12
drinking hot water cures cold,MYTH,75.32
Home remedies cure cancer,MYTH,76.34
alcohol harm liver function,MYTH,57.62
Home remedies cure cancer,MYTH,76.34
Home remedies cure cancer,MYTH,76.34
drinking alcohol cause liver damage,UNCERTAIN,56.56
